,0 
154," after recent stay talbott hotel chicago, i left citi empti pocket book. i book packag deal onlin although servic absolut terrific, realiz amen pay includ person key card room servic menus. i could done room key name print across well menu. when name print thing becom extra amen cost much money? i basic felt overcharg call 'extras' includ packag purchased. one thing, traffic pretti horribl check seem like could somehow made simpler."
155," my husband i plan 1st year wed anniversari want go back spend chicago first met. after spend sever minut frustratingli navig the talbott hotel' website, i final abl complet reserv long weekend. after long flight chicago, readi check in, shower, lay hotel room. however, arriv unfriendli clerk behind counter notifi us reservation. i provid confirm email said must mistak room reserv alreadi occupied. she begrudgingli found us new room seem like hour waiting. we carri bag room immedi hit rancid smell cigarett smoke soon open door. i'm sever allerg smoke end get refund locat much accommod friendli hotel."
156," i recent stay the talbott hotel 3 night i could disappointed. it terribl experience. long wait check room sinc room readi even though i arriv way check time. front desk rude. wa given smoke room i request non-smoking. room servic left lot desired. the food took forev arriv cold unappetizing. the staff hotel help unfriendly. had toilet paper room. room noisy. could hear peopl next door open doors, watch tv, talking. the room dingy, small musti odor. needless say i stay i recommend hotel anyon else. stay away hotel. not worth money."
157," i'd expect ""luxury"" hotel pay attent details. the room realli thoroughli cleaned-- i found hairbal bed, mirror streaked, etc. the desk staff took forev even acknowledg i check in; three them, two phone, nobodi even made eye contact 5 minutes. then, gave vaguest answer pretti basic question neighborhood; think they'd know find starbucks. the internet ridicul slow whole two day i there."
158," i select the talbott recent famili vacat chicago. we chose hotel close proxim navi pier otherwis central location. in retrospect, phrase ""location, location, location"" appar appli hotels. it' good thing locat great, everyth happen insid hotel bad. upon arrival, room ready. the clerk could nicer whole situation, told us simpli ""we would wait"" without offer sort help luggag timet room would ready. when final arriv room, sheet clean. a call housekeep prove difficult, i speak spanish. the second day trip, housekeep never show clean room despit presenc ""pleas service"" sign hung door. we stay room servic long afternoon michigan ave. when food final arriv full hour place order, cold good. despit poor impressions, manag unwil compromis price checkout. my call corpor headquart answer call center mumbai. they receiv busi again."
159," the talbott hotel claim chicago' premier small luxuri hotel. after stay experienc service, environment, hotel general, i say confid true. i arriv rather high expect due claim made hotel review post websit i immedi disappointed. no one came car collect bag i forc lug insid myself. the doorman polit fail even open door me, leav fend tri carri bags. onc inside, atmospher i expected. the light poor, leav lobbi dark look like dingi set glossi veneer attempt hide degener state building. the carpet look dirty, vacuum wash quit time, corner wall met ceil visibl water damage. when i arriv front desk, i forc wait five minut someon came help me. after check i went room disappointed. the bed uncomfort i ran shower ten minut without ever receiv hot water. that night i order room service. the food took 45 minut get room, final arriv cold. the fit center small select machin caus long line wait use them. i would certainli recommend hotel friends, probabl enemi either. stay away!"
160," the conrad chicago hotel worst servic i ever dealt with. i got execut room king size bed. when i got in, sheet stain type chocol mud. i call front desk took hour come chang me. they pillow menu i tri select half them. the ipod dock work either. also, room servic server short deliv food luke warm. thi hotel worst chicago i would never recommend go there!"
161," the name conrad (the luxuri hilton hotels) illicit noth imag pure eleg luxury; however, conrad chicago, il obvious receiv memo. upon enter hotel, greet hotel staff. additionally, offer help. the desk receptionist beyond rude. her snide remark toward wife set tone rest stay. after get card, final offer help luggage. the young man help us could bare handl luggage. strangely, somehow found strength time collect tip. he receiv tip deserved, scof groan breath walk away. upon first look room beautiful. however, closer inspect reveal room not clean sinc last visitor left. there hair sink around toilet. there even use bar soap bathtub. thi fact met apolog hotel staff. instead, i told preposter room inde clean highest standards. two-hour later, someon came room ""investigate"". when saw mess left, offer menial apology. still anoth two hour later, housekeep arrived. the level incompet even extend valet park garage. in incred display stupid visit, valet actual brought wrong car me. i half tempt take car brought (it certainli incred make model), better judgment prevailed. i inform valet mistake, replied, ""sorri dude, i read ticket wrong."" i know smoke car, smell strongli smoke, smell melt seat. luckily, locat rush help get terror conrad chicago. there mani better hotel chicago -- pleas spend money elsewhere."
162," overpr best word describ conrad chicago hotel. while may downtown chicago, room view. although i ask non-smoking, room reek smoke. the elev slow, one work stay. there stain pillow, leg one chair room broken. there dead bug bath tub. i given 2 towel 4 night stay. my credit card bill twice, took 2 week revers extra charge. i recommend hotel all!"
163," thi hotel rather far airport traffic took almost 2 hour get there. by time, i tire i readi check room. i stood line forev one person work front desk. that beginning. it noisi outsid peopl constantli walk around. i guess they'r locat middl downtown area, could least make wall thicker. i want hear everyth go neighbor' room. the bathroom clean one towel hole it. the toilet ran night kept along peopl street. the restaur food horribl i would rather buy food street vendor pay ridicul high price charg burger. overall, i disappoint stay conrad chicago."
164," chicago mani wonder luxuri hotel tourist busi travelers. when visit windi city, however, conrad hotel resort one avoid. while descript promis clean accommodations, luxuri amenities, ""deep soak tubs,"" relity, room fall short expectations. i open door suit find musti smell room similar old neglect closet. a bit disappointed, i decid ignor fact. hope take nice long soak travels, i made way bathroom. while i find large, deep bathtub, hard water stain give dingi look. hardli i expect price i paid accommodations. in corner bathroom, i found remind peviou guest, clump blond hair. the maid servic seem lacking. not deter enjoy stay, i decid watch televis 42 inch flat screen i promised. unfortunately, batteri remot control dead. i call front desk, wits' end, complain issues, greet desk clerk sassi attitud seem doubt everi word. overall, i would definit recommend conrad hotel resort chicago. my room dirty, staff unfriendly, ammen far between. on next stay chicago, i definit stay elsewhere."
165," what disappoint hotel was. first, checkin desk understaf wait forev get line check in. when final got room, open door found someon els alreadi it! yes, front desk clerk actual check us occupi room basic gave us key someon else' room. we went back clerk check us (skip still present line, got us annoy stare peopl waiting) told problem. however, alreadi help anoth guest checkin made us wait done person help us. he apolog mix went back room find do. thi took *very* long time. it good 10-15 minut came back. he said room avail type book one left lower floor view. the hotel offer us discount regular price these, got new room, found room taken. the room overlook load dock back hotel. we briefli consid leav go anoth hotel, late alreadi decid make do. that was, course, garbag truck came around 6am made sort nois pick dumpster drop back down. then somewher around 7:30am deliveri truck start show make beep-beep backup sound sort noise. so much good night' sleep. i suppos i say room look nice, nois load dock, cares. we gave check morn find anoth hotel. definit go back ever again."
166," my husband i recent stay conrad chicago three nights, thursday saturday. let say less pleas experience. we chose stay ""king bed delux room"" averag three hundr dollar night sore disappoint accommodations. upon entri room look though clean thoroughly, rug look dirti crumb someth dresser. the room size average, three hundr dollar night expect almost suit type room. the major annoy loud peopl were. we came midnight even long went bed could hear peopl come hallway yell running. that total unaccept suppos high end hotel. you expect loud guest mayb once, everi night ridiculous. the servic also extrem sub par. we wait 20 minut check girl counter busi talk anoth employe go work. one day put hous clean sign door maid liter walk me. she complet disregard sign, even bother knock unlock door came right in. it scare i'm glad i get shower changing. so sum up, never stay conrad again, never recommend anyon else, money hundr much better hotel stay chicago."
167," my wife i stay conrad chicago hilton week back. i confer windi city, wife decid she'd come along shopping. first let say, typic i love stay hotel - chanc i get, i'll spend away home comfi hotel bed. that said, place terrible. the room slight odor it, kind fishi smell. the peopl front desk rude us. and i found soil pair women' panti bed. gross! not mention got home, bug bite legs--- we'r worri brought bedbug home us! if i could take trip back i would. what terribl place. shame conrad hilton, shame you!"
168," i origin chosen conrad chicago hotel locat near shop center within walk distance. however, i later learn i made poor choice. upon arrival, lobbi seem nice check clerk. although, reach hotel room, dissapoint find one-bedroom suite. my famili went back demand anoth room two queen-siz beds. the clerk, twenti minut wait period, abl find us suitabl room. upon entering, room notic hot. we turn air conditioning, wait thirti minutes, room remain muggi humid. i call front desk complain ask repair man anoth room. they promis repairman within ten minutes. 1 hour later i call remin repairman shown up. they promis speedi repair. while waiting, i discov room soap towel still damp. i call front lobbi said sorri inconveni one first level, i go get them. after trouble, i argu bring me, end, i wound go get myself. after return room wait anoth 30 minutes, repair man shown up. so i call again, within 5 minut repairman came. he manag fix air conditioner, 12am. we final abl get peac rest well room cool off, night went on, notic anoth problem. the air condition began make wretch screech bang sounds. it also emit strang odor. upon check front desk, demand anoth room late night repaired. there avail room left, fed hotel' poor service, promptli left check nearbi hotel. i recommend conrad chicago anyon want enjoy time."
169," for anniversari year, wife i stay conrad. we'r suburbs, stay nice hotel citi big deal us. it' expensive, expect best money. thi definit best money. it even good deal either. the problem began right bat. when got room, greet musti smell seem hang throughout entireti room. it like walk dusti attic. when i sat watch tv, turn even connect cabl anything. i kept chang channel, noth static white noise. i even look anoth remote. after left things, went night chicago, come back, smell seem gotten worse. i final ask hotel manag come rooms. they move us differ room, explan smell. for singl stay, troubl worth."
170," don't ever stay hotel!, conrad chicago worst hotel imagine. first all, the price! get pay for. i paid &217.50 one night room even tv!! that' ridiculous! the bathroom work, nasty! bed sheet seem like used, peopl slept smell bad! after experi conrad chicago, i pleas ask reconsid get room hotel. you get better servic accommod even 1 star motel!"
171, i never stay conrad chicago again. the employe rude begining. when i ask extra towel ladi front desk look like i inconveniece. the bar staff much better. the maid never came chang sheet stay. do go there!
172," the conrad chicago michelin rate hotel, i expect great servic wonder accommodations. well, one part correct. the room inde nice furnished, servic terrible! the concierg unabl find room reserv (i reserv onlin even email confirmation) help get new room. i order room service, wait time long food came cold. i mean, i understand would take time get food prepar room, really? for price i paid, definit worth it, i would never use hotel again."
173, i reserv check chicago conrad. when arriv wife i told hotel oversold i would take doubl room rather king. thi special weekend wife i big disappointment. we offer free dinner accepted. the restaur dark food fairli good. the tub bathroom clog hair call mainten repair. thi took hour resolve. overal would pick hotel again. they make sure commit met room excel condition. we feel good value.
174," i realli excit visit chicago first time, hotel recommend conrad chicago, locat rush street. i want hotel conveni locat downtown sites, conrad chicago disappoint respect. however, everyth els hotel could classifi sub-par, rang rude check-in clerk roach freeli roam room. thi hotel deserv anyone' recommend list. my first problem rude desk clerk check in. after ask three form identif (most place ask driver' license) ask twenti question reason trip chicago, reluctantli gave room key. i ask bell cap help bag said i want wait, one would abl help 15 minutes. i feel like waiting, i drag bag room, find room key work! instead drag everyth back down, i decid use cell phone call front desk, cell phone signal hall way. i believ i middl downtown chicago hotel signal! i final flag someon housekeep staff let room, i immedi saw problems. two roach scamper across carpet i went bathroom, towel wash cloths. i went turn tv work. one lamp miss light bulb. i believ happen me. i conrad chicago, motel six! i sat bed mattress soft lumpy. i readi cry. i spend lot money hotel dump. i call front desk ask anoth room, refused, say i gotten special rate allow room changes. i insist give towels, fix tv, put light bulb lamp someon spray get rid roaches. they agreed, told would take ""awhile"" sever key personnel call sick. my stay conrad chicago nightmar begin end. i would recommend hotel anyon"
175," imagin fli windi citi business. after long flight mani delay get cab hotel, much-hyp conrad. you'v expect fall soft bed love view chicago skylin window. that' exactli i imagin delay flight terribl cab ride. that' opposit turn out. i got lobbi late person counter busi talk cellphone. i approach even hang up. they go thought whole charli sheen thing overblown. i care. it' late. i meet next day. i tri check say can't find reservation. thi despit fact i receipt me! finally, check even bother bellhop help bags. thi cheap room. it' standard treat custom level respect. i get room i open door someon else' room! somehow they'v given wrong room activ key person' room. wors yet, occup pass drunk bed cloth strewn room. i carri bag back downstair get check right room. final i get room miss pillow. seriously? how maid notice. the bed made. someon must'v room seen one pillows. thi episod exemplari rest stay. needless say, neither i busi use servic conrad chicago."
176," my husband i realli look forward spend anniversari conrad hotel. for price pay expect luxuri hotel amen unfortun quit opposite. upon arriv greet rude incompet receptionist. not could find reserv due fact kept misspel name, refus apolog final find act fault spell! our room turn okay except stain pillow case ruin experi me. we ate restaur site less impress food. it alright noth world. we felt could gotten better meal elsewhere. all conrad big disappoint us."
177," i recent displeasur stay conrad chicago. although hotel came recommend variou onlin websites, experi anyth pleasent. first all, tell check time 3pm. well i arriv hotel 3:30pm check discov room ready. after wait nearli hour room ready, i decid go settl in. the carpet room smell old musty. additionally, bathroom cleanest state numer notic chips, scratches, dent furniture. although bed comfortable, i get musti smell come carpet. it difficult get air condit set comfort temperatur i good night sleep. all all, experi worst i'v ever had, far anyth worth write home about."
178," i recent opportun stay conrad chicago hotel, locat north rush street. as part hilton hotel chain, i confid i would posit experience. unfortunately, time i walk door time i check out, i plagu noth problems. when i walk hotel, i greet concierge, usual bad sign. (he read newspaper.) then, i announc i hold reservation, desk clerk unabl find it. i confirm number agre match number system, could find room i reserved. finally, assign room, smaller i origin request bad odor. i disappoint room decor. the room smell stale smoke, even though non-smok floor. the bedspread threadbar soap bathroom. i keep check make sure i realli conrad chicago. surely, way hilton chain operates! there continu problem throughout stay. i ask wake-up call 15 minut late, scurri around i could make busi meeting. i order breakfast brought room, never show -- all! and water shower never reach anyth lukewarm, shower short unsatisfying. i decid check conrad chicago day earlier origin plan i dissatisfi hotel way attempt resolv problem issues. upon return home, i wrote letter hotel manager, never receiv reply. becaus refus acknowledg i problems, i stay conrad chicago again, avoid hilton hotel future."
179," advertis luxuri hotel conrad chicago goug grand. my wife i decid splurg fabul decad weekend chicago tenth anniversary. after look sever hotel ""magnific mile"" territori downtown chicago select conrad. the conrad' websit impress us immediately. the pictur room lovely, promis suppos world class spa sever amen huge flat screen televisions, plan watch much tv. we call make reserv navig ridicul autom phone system, i greet rather irrit sound young woman figur i unabl make reserv via autom system. in case i pick delux king-siz bed room two night mid september. my wife ooh aaah pictur room online, impress view. it cost pretti penny, i would normal spend town accomidations, happi worth it. unfortun happi short live arriv conrad. valet park breez accident grab wife' purs unload luggage. we spent hour panic bellhop final locat it. at front desk pleasant adam reserv room two doubl bed via autom phone system. i explain error woman counter abl get us king-siz room addit cost. by time arriv room bit haggard still look forward stay. that end found ""view"" back alley servic corridor. so much skyline. overall, room clean love though housekeep seem unduli slow. i hate picki i drip dri way extra towel sent up. the spa limit hour well. somehow amidst manag anniversari dreams, away hotel. it far luxuri servic even sheet extravag thread count. i would recommend conrad chicago. i would absolut save money next time spend activ sightse chicago. i expect outstand hospit found better mid-rang price hotel would also clean rooms, clean much wallet."
180," we book american girl place packag fairmont chicago millennium park. told we'd room nice view, appar idea nice view anoth building! end get smoke room book non-smoking, cost us $100 night told, staff incred rude restaurant. would never recommend come reason whatsoever!"
181," i recent stay fairmont chicago millennium park visit unpleasant. thi hotel loud staff rude. all fanci light design distract snobbi peopl stay peopl work seem hate jobs. the hotel food old, seem like make peopl stay there. the bed hard uncomfort bad experi look like ""nice place spend vacation"""
182, i got home stay fairmont chicago millennium park hotel. me famili chacago week hotel closest need be. when walk door horrid odor. almost like public bathroom. the check clerk irrit uncooperative. she would let us go room entir famili yet! when final got room bed made room uninviting. the bed felt like sleep rocks. after first dread night got went downstair eat breakfast. the food tast look like vomit. the rest week stay like live hell. the fairmont chicago millennium park hotel definit good place stay. it actual probabl worst hotel i'v ever stay at.
183," the fairmont chicago millennium park one overpr hotel i stay while. at almost $500 night, one would expect. travel wife, i expect pay cost room, alreadi outrageous, i hit anoth $20 charg stay. even king bed, figur one person cost. the bed averag although much do, everyth cost arm leg. it unbeliev much charg everyth see peopl pay like normal blew away. all amount money i pay per night basis, i chicago longer one night, i definit would stay somewher else. i guess live learn, shame i learn high bill averag accommodations."
184," if want 5-star hotel 1-star service, make sure book next chicago stay fairmont chicago millennium park. when i check hotel, i wait desk ten minut line. i greet ""thank patience,"" anyth similar. the room fine, noth glamor outstanding. the internet cost $14.95/day outrag consid price hotel itself. the thing push edge, however, valet parking. when i want car morning, i wait 15 minut acknowledg (the valet talk ignor altogether). and ""service"" i charg $51.00/night!!!! when i went complain front desk, said sometim valet get overwhelmed, exercis patience! i exercis patienc i check hotel!!!"
185," my wife i live western suburb chicago. for anniversary, book night fairmont base recommend friends. while staff hotel quit friendli help locat ideal night city, accommod expectations. for starters, request non-smok room receive. however, hallway lead room distinct smell smoke certainli turn us. while room certainli adequate, bathroom light distinct flicker complementari shampoo included. while latter may seem like minor offense, one expect hotel report quality. finally, cost park seem somewhat inflat even chicago' standards. in summary, fairmont decent qualiti hotel price, i sure could done better."
186, my stay fairmont chicago millennium park hotel far worst hotel stay i ever had. i would recommend hotel anyone. they promis i would abl relax spa area dirti relax all. when i got room i order room servic took 45 minut bring i ordered. i highli dissatisfied.
187," for starters, i troubl reach front desk. everi time i call would ring endlessly! when final i reach someone, snooty, impolite, altogeth unhelpful. be south know anyth chicago i hope staff would help guid around larg metropolitan area. as i business, i realli look forward wi-fi access busi activ would go uninterrupted. unfortunately, case. after multipl log attempt i end go local ""internet bar."" as attract room hotel were, complet utter lack servic deliv expect disappointing."
188," my husband i recent stay fairmont chicago millennium park. what i expect pleasant experience, turn stress visit. we specif reserv non-smok king room paid price reservation. upon arrival, hotel non-smok room avail repres check desk helpful. as options, accept smoke room two queen beds. i live bed situat i truli feel accept room infus cigarett smoke complet wrong! there area room i feel nauseou stale smell i cannot help think smell follow around day check out. to add insult injury, hotel staff sympathet situat -- someth i think specif train -- offer compensation, partial refund relat ""perk"" make great inconvenience. two staff member actual act i inconveni ask anyth could do! although paid breakfast package, eager leav immedi morn dine elsewher addit expense. pardon pun, could sit dine morn bad tast mouth hotel' lack custom service! i hope corpor offic respond complaint but, thu far, receiv satisfaction. needless say, visit properti again! in fact, longer go patron brand hotels."
189," on recent busi trip chicago, i unfortun circumst stay fairmont chicago millennium park hotel. upon entrance, lobbi beauti hotel seem nice. however, i approach check counter, woman work ters rude me. they book wrong kind room i ask chang it, i snub made feel like tremend imposit accommod me. after half hour, i final receiv correct room. the linen bed cheap quality, scratchi musti smell. also, bathroom clean properli still trash wast basket (includ condom) shampoo. also, i coffe pot room coffee. when i call front desk ask some, told free would i like charg coffe account. i found hotel shock highli recommend one stay there."
190," my stay fairmont chicago millennium hotel short one; although, intend five days, last two. when husband arriv met valet knick mercedez. the clerk/concierg phone nearli 5 full minut notic stand front him. when check in, lug luggag upstair room find someon alreadi it. we return lobby, dismay, hotel doubl book room! after anoth 30 minut haggl whatnot abl move ""better"" room. the bed unbearable, shower look like hadnt clean properli room smell cigarrett (although supposedli non-smok room). too tire jet lag complain went sleep. however, hard us voic could heard thoughout night due paper thin wall room. i need ambien go sleep. i woke backaches, continent breakfast bathroom day, maid conveni forgot clean room. me husband enough decid go hyatt."
191," dissapoint stay fairmont chicago millennium park. when i look web site i convinc go perfect place famili i spend time in, gaze ""sites"" chicago. boy i wrong, when i first arriv check one insight desk. finally, 20 minutes, i approach apolog wait. while tri check told mixup room i origin request occupied, i given less spaciou room, one bed wife i share kids, told would voucher meal day. my wife i love sushi figur use that. when done qualiti food mediocr told us voucher would work sushi bar. worst display custom servic i ever receiv never stay again."
192, my experi fairmont chicago millennium park hotel terrible! i arriv exactli check time told room would readi anoth hour. i chose wait patient hotel bar found disappoint i sat 15 minut bar tender serv drink i receiv warm. when room final readi i horrifi find hair bathtub mysteri spot bedding. when i call housekeep staff rude maid sent chang sheet act annoy mutter breath whole time chang sheet clean bathroom. after hassl i would normal expect least complimentari beverag offer i found even use internet locat involv rather exorbit fee 13.95 24 hour period. i shock stay varieti higher end hotel i never ask pay extra wifi access. overal i highli disappoint stay return fairmont chicago millennium park hotel time soon.
193," on recent weekend stay fairmont chicago millennium park hotel, disappointed. i chose hotel scour variou hotel websit area. from look website, expect average. i felt websit led one believ upscale. upon arrival, check in. i shown room first glanc everyth seem fine room. as settl room, i began notic gener lack cleanliness. i notic spiderweb corners, lack cleanli bathroom. also, advertis pod dock station room, however, work i call bring replacement. i, guest call down, item check ensur work properli guest check in. i found restaur site crowded, loud mention unus long wait serv meal. i inquir menu item waiter seem lack knowledg menu items. overall, experi good next time i area, i chose anoth hotel stay."
194," stay fairmont chicago millennium park good experience. the room clean haphazardli fashion pleasant walk into. when i call servic desk towel brought room, took exceedingli long amount time brought up, woman deliv towel rude be. will stay fairmont chicago millennium park again."
195," whenev i decid stay fairmont chicago millennium park, thing i mind idea take time relax enjoy time husband. however, hotel choic best. right front desk arriv problem reservation. the room reserv occupi switch room, much smaller origin one. the hotel give us discount, i'd paid larg room i want it. a hotel name put guest kind situation. i wont reserv room again."
196," my experi fairmont chicago millennium park horrible. me wife road trip new york stop reserv fairmont chicago millennium park hotel. we arriv 12:00 am non-smok room avail booked! my wife pregnant time recept staff sympathy. my wife handl smell room i ask refund go stay somewher else. they refus rude unhelpful. we stay night, first thing next morn leav look differ hotel. i never stay hotel again."
197," i recent stay fairmont chicago millennium park hotel, one absolut wors travel experi i ever had. one main reason i origin book stay fairmont properti offer special, ""pure"" room suit suppos hypoallergenic. becaus i suffer extrem allergi -- i realli hate thought less-than-pristin hotel room -- i happi pay extra room suppos special design guest environment sensitivities. i'll tell right -- save money. when i got room, i immedi detect distinct smell cigarett smoke mold. to add gross factor, i took look around notic dust lamp light fixtur well dirt carpet. the comfort bed look messi well -- someon recent use bed hastili threw comfort back it. there way i go stay room, i made way back check-in desk polit inform problem room. the woman front desk told room avail practic got yell match grudgingli start type away computer. after make wait anoth twenti minutes, final inform could put anoth room, would four hour wait. four hours! it absolut ridiculous. no hotel -- much less one constantli tout sort promis superior custom servic -- ever treat custom way. i recommend fairmont i ever stay again."
198," the fairmont chicago millennium park hotel suppos romant get away turn nightmare! when got room done! we offer anyth do, drink eat meantim wait well 20 minut said would finished. the clerk front desk twa text cell phone! how rude! we total time manag said would take care issu upgrad room done. and wait long room, believ it? there dirti towel bathroom. the televis work, wait repair guy fix it. plus, hotel fail mention convent go spa repair. i'm mad i'm write owner let know! thi realli made mad. we taken vacat year i expect fairmont luxuri cater needs. even concierg snicker boots, what, i like wear doc martens! it make mad even think fairmont. at least time chicago enjoy even though hotel lame."
199," on recent stay fairmont chicago millemmium park hotel i appal servic i receiv supposedli high end hotel. when i arriv i wait lobbi 15 minut someon came front desk check in. appar desk clerk person phone call boyfriend know go with. final i given key non-smok room away vend area. much chagrin room right next vend area i heard guest go back forth ice machin nearli midnight. and room obvious room smokers. the blanket bed pillow reak cigarett smoke. i, cours complained, told room avail book everi room confer i welcom check go anoth hotel. after fitful night' sleep i awok children run hallway. their parent sight. my shower cold pressure. i given two towel one laundered. i could wait check inform manag duti complaint told i would recommend hotel anyon would go onlin write review anyon interest would see it. i cannot understand highli rate hotel could far mark."
200," the hyatt regenc hotel chicago worst hotel i ever went to! i book non-smok room online, went ahead gave room smoke allowed. after go room, i smell heavi smoke smell. it realli bad. i call front desk issue, said noth like record refus exchang room me! there also blood stain bed sheets. the carpet also dirty. i would never book hyatt again!"
201," dure recent stay hyatt regenc chicago, i sever disappoint qualiti facil staff. to start off, room provid adequ sound barrier rooms. hope spend quiet even long day busi meetings, i hope spend quiet night in. my neighbors, however, watch i imagin real hous wive new jersey marathon full volume, destroy chanc peac ambiance. when i ask concierg address issue, seem concern text job. as i visit gym, i found ""state-of-the-art"" stayfittm gym consist noth coupl treadmills, weight yoga mats. the water cooler quit warm, workout towel stain tattered. finally, hypo-allergen featur tout websit render null presenc dust ball beds."
202," there great differ hyatt regenc hotel, normal hotel. the thing i like hotel smoke section non smoke section realli close other. i get realli uncomfort i crowd area, peopl smoke lung out. even though hotel realli glamourous, nice bar, nice restaurant, great music, still good stay like peopl smoke besid you."
203," the room pretty, locat great, hotel big staff take care everything. the heat room loud, make difficult sleep. the gym big enough, hotel park garag expensive. the hotel mani guest lobbi loud relax in. we get great servic hotel bar, bar ran bar snack mani peopl bar area. later ask direct restaur dinner reserv at, hotel staff ask know could get there. the next morning, clean staff tri get still room."
204," my stay hyatt regenc experi i'll never ever forget - good way. check-in actual pretti easi clerk pleasant. i went room look around, seem ok first. i bush i flop bed... ohhhhh noooooo! the bed hard militari bunk armi days. but i tire i pass out. of cours i woke back ache...great. i figur hot soak tub would help back i plug tub, turn hot water full force, pour shower gel. i put foot expect real heat - water bare lukewarm. i call front desk help, clerk apologized. frustrat point, i turn tv switch air. i put hand vent see cold air i saw someth slimi insid vent. it look like wet gray chunk goop something. i take anymor this. i went front desk complain clerk. it seem though guy someth - kept smile apologized, empathi he' use hear goop ac. he offer free night way i'd stay place - ever."
205," first check hotel' websit review complet sure would great hotel would great time there. total disappoint got there, first ask nonsmok room hate odor , fact gave non smoke room smell wors smoke one, smelli bad way smell like sweat dirti laundri someth like that. tri enjoy view, window dusti dirty. decid get room , went pool wasnt expect either noth pictur . went back room call room servic complain smell dirt gave anoth room smell even worse!. freak gave deodor tolerable; bed uncomfort bathroom eww!, say hotel."
206," a friend i stay hyatt regenc chicago weekend visit mutual friend birthday. the hotel first glanc nice charming. but, we quickli found case. our room reek smoke first step in. the bathroom filthy, look though clean weeks!! there mold around toilet film mirror. there also larg stain carpet room. we immedi call front desk tell smelly, unkempt room. the women front desk rude assur us smell ""wa smoke"" permit hotel. we also told room clean day. after sever minut argu manager, move anoth room took 2 hour clean room avail time. we sit lobbi baggag one made avail us. the food order restaur horribl way priced. our waiter rude stop tabl twice whole time there. all staff hotel seem unhappi barley even acknowledg guests. i never stay i would never recommend hotel one."
207," hyatt regenc chicago seem like nice place stay, like much. the renov cheap poorli done (our bathroom faucet leaki carpet bump it.) the staff rude! i tri find good cab service, guy behind front desk made wait 20 minut finish phone call! couldn't least call someon els help me? the ""babi travel lite"" gave us wrong size diapers, go find anyway, hotel locat heart citi meant found unsavori charact along way."
208," stay away hyatt regenc chicago. i recent spend weekend chicago business, expect hotel provid experi beyond seedi dive bad part town, alas, i left disappointed. i arriv afternoon, flight delayed, readi rest hour start evening. unfortunately, room ready. it readi hour earlier, perhap inclement weather delay flight also delay hotel staff. in event, i advis wait bar, creativ name big bar. they seem annoy i want water, seem understand choic i spent time hideous noisi establishment--i want relax room. i wait hour check back front desk. wa room readi yet? 'what room?' replied. to astonishment, seem i longer reservation! how came pass, i know, boy behind desk certainli unabl enlighten me. i explain i simpli wait room cleaned, furnished, renovated, whatev make ready, word noth almighti computer, spake ""guest not found"" nonsens final say matters. i request manager, unavailable, presum staff yet manag get readi either. finally, i admit defeat slunk hotel, fewer regret i would imagined, find better place spend night--a park bench surround pimp thiev would invit point. as was, i found anoth hotel, better priced, better staffed, room readi custom. so look experi like other, book room hyatt regenc chicago. if want place sleep, look elsewhere."
209," the hyatt regenc chicago basic cater guest want feel like they'r stay nice hotel soon enter lobby. in words, come looks, amenities. they make big deal fact bedsheet undergo special de-germifi process.... know, simpl wash machin good enough. to me, sort thing appeal folk enjoy picki narcissist identifi trait ""rich""--which not. meanwhile, hotel even offer free wireless--an essenti featur busi travel like me. obvious i'm intend consumer, though, i guess i surprised."
210," i recent stay hyatt regenc chicago hotel although i stay varieti time before, busi pleasure, experi time particularli poor. from right i check day i left i felt like i constantli around unfriendli peopl want work jobs. my room dirti whole time even though maid came everi day, i tri sleep night loud hallways, i sleep. for next visit chicago i stay hyatt regency."
211," my wife i went chicago enjoy weekend stay hyatt regency. 'hyatt regenc chicago' ruin famili holiday weekend. first all, diamond platinum member, need reserv room atleast 10-15 day advance. you pay extra $20 welcom credit option. they give credit $75 2 days. we use $20 rest forefeited. i talk manag said can't use next visit. the manag hotel full cheap mind people. when know hotel let use wi-fi free, hyatt regenc manag ask us pay use wi-fi. bewar place, want enjoy weekend chicago, hyatt regenc last place consid staying. thank sam."
212," hyatt regenc hotel: good ole downtown, chicago. hypo-allergen room usual intend well-b even worst case allergen sufferers. well, got room, one first thing wife sneez four times. upon set channel scan which, recept came fuzzi around, interatt ethernet featur after, lost confus work it, provid us first fee! the pool bad shape. the maid seem come go intercommun qualities.. knock knock knock. we let em' right start vacuuming. one fluoresc bulb ceil dimmer other gideon' bibl crib notes. what room! not mention hotel like! oh geez."
213," whilst doubt good locat hotel fall short areas. most notabl cleanliness, although lobbi clean, corridor floor well room not. dust line carpet floor hallways, room bed emit unpleas odor sheet chang time. the furnish nice modern, variou blemish upon close inspection. bathroom rel clean, except shower. view nice particular room, servic rel quick. the food restaur averag cleanli issue. thi time glass stained, waiter promptli apolog return new glass still inexcus advertis high class hotel. i make mistak stay again."
214, my wife i stay hyatt regenc chicago coupl week ago defiantli go back. the custom servic horribl well appar worker want either. when arriv hotel told us room still clean wait almost hour gave us key. when got room bed even properli made. the cafe alway crowd peopl take two hour get food. we end go home two day planned.
